"","recid","ASVAB_gs","ASVAB_ar","ASVAB_wk","ASVAB_pc","ASVAB_no","ASVAB_cs","ASVAB_asi","ASVAB_mk","ASVAB_mc","ASVAB_ei","RSE1_1980","RSE2_1980","RES3_1980","RES4_1980","RES5_1980","RES6_1980","RES7_1980","RES8_1980","RES9_1980","RES10_1980","ROSENBERG_SCORE_1980","ROTTER_1A_1979","ROTTER_1B_1979","ROTTER_2A_1979","ROTTER_2B_1979","ROTTER_3A_1979","ROTTER_3B_1979","ROTTER_4A_1979","ROTTER_4B_1979","ROTTER_SCORE_1979","med","nsib","race","male","nuclear","urban","moth_age_birth","income","cross_sction","sex","fed","yob","ageASVAB","ageRES","ageROTTER","acgrd_1","acgrd_2","acgrd_3","acgrd_4","acgrd_5","acgrd_6","acgrd_7","acgrd_8","acgrd_9","acgrd_10","acgrd_11","acgrd_12","acgrd_13","_merge"
"1177",3365,46,38,47,50,55,53,33,48,48,30,1,1,3,2,3,2,2,1,2,2,18,2,1,2,1,1,2,1,1,14,12,4,3,0,1,1,35,83.0358352661133,1,2,14,1964,17,16,15,10,11,12,13,13,14,14,14,14,14,0,0,0,3
"1178",3367,62,65,61,59,49,59,46,68,57,53,2,2,3,2,3,2,3,3,2,2,17,2,2,2,2,1,2,1,2,11,12,4,3,0,1,1,34,94.9087066650391,1,2,16,1961,20,19,18,11,12,13,14,15,16,16,16,16,16,16,16,0,3
"1179",3368,56,64,60,59,60,55,48,68,63,56,2,2,3,2,3,2,2,3,2,2,18,2,1,2,2,1,2,1,1,13,12,4,3,0,1,1,37,99.5723114013672,1,2,19,1964,17,16,15,11,12,13,14,15,16,16,16,16,0,0,0,0,3
"1180",3370,56,55,46,62,53,49,40,55,38,49,1,2,3,2,3,2,2,3,3,3,21,1,1,1,2,1,2,2,2,7,12,0,3,0,1,1,21,94.9087066650391,1,2,12,1964,17,16,15,11,12,13,14,15,15,15,16,16,0,0,0,0,3
"1181",3374,58,51,46,53,39,39,62,51,65,53,2,2,3,2,3,2,2,3,2,3,19,2,1,1,1,2,2,2,1,9,12,5,3,1,1,1,30,71.1815338134766,1,1,11,1962,19,18,17,11,12,12,12,12,12,12,12,12,12,12,0,0,3
"1182",3377,64,53,59,62,50,44,58,55,53,42,1,1,4,1,4,1,2,4,4,4,29,1,1,2,2,1,1,2,1,6,12,7,3,0,1,1,38,71.1815338134766,1,2,12,1962,19,18,17,11,12,13,14,15,16,17,18,18,18,18,0,0,3
"1183",3379,56,65,50,53,60,57,60,68,63,65,2,2,3,1,3,2,3,3,3,3,20,2,2,1,2,1,2,1,2,10,12,2,3,1,1,1,27,29.9738330841064,1,1,12,1963,18,17,16,10,11,12,13,14,15,16,16,16,16,16,0,0,3
"1184",3381,50,64,54,56,53,56,60,65,61,58,2,2,4,2,4,2,2,3,3,4,23,1,2,1,2,1,1,2,2,7,12,2,3,1,1,1,20,119.380027770996,1,1,12,1961,20,19,18,10,11,12,12,12,12,12,12,12,12,12,12,0,3
"1185",3382,52,58,50,56,52,52,51,62,59,53,1,2,4,2,3,2,2,3,3,3,22,2,2,2,1,2,2,1,2,13,12,1,3,1,0,1,32,52.698371887207,1,1,12,1962,19,18,17,10,11,12,13,14,15,16,16,16,16,16,0,0,3
"1186",3384,44,57,54,56,52,60,44,44,48,46,2,2,3,2,4,2,3,3,2,2,18,1,1,2,2,1,1,1,2,8,12,9,3,0,0,1,26,87.9183197021484,1,2,16,1962,19,18,17,11,12,13,14,14,14,14,14,14,14,0,0,0,3
"1187",3388,68,65,60,59,43,50,49,66,59,65,1,2,4,1,4,2,2,4,3,4,26,2,1,2,1,2,1,1,1,16,18,3,1,1,0,1,32,64.9759292602539,1,1,20,1963,18,17,16,11,12,13,14,15,16,16,16,16,16,0,0,0,3
"1188",3393,46,35,50,38,47,43,31,43,27,37,1,1,4,1,4,1,1,4,4,4,30,1,2,2,1,1,2,2,2,10,17,2,1,0,0,1,20,128.783065795898,1,2,16,1964,17,16,15,11,12,13,13,13,13,14,14,14,0,0,0,0,3
"1189",3398,52,59,43,56,49,57,60,43,52,53,2,2,3,2,3,2,2,2,3,3,19,1,1,1,1,2,2,2,2,7,12,4,3,1,1,0,32,47.4543533325195,1,1,11,1962,19,18,17,10,11,11,11,11,11,11,11,11,11,11,0,0,3
"1190",3402,46,50,55,53,60,60,46,52,50,51,2,2,3,2,3,2,2,2,2,2,17,2,1,1,1,1,2,1,1,11,10,1,3,0,1,0,23,83.0451202392578,1,2,12,1962,19,18,17,11,11,11,12,12,12,13,14,14,14,14,0,0,3
"1191",3405,50,64,56,56,62,54,39,63,55,58,2,2,3,2,3,1,3,3,2,3,19,2,2,2,1,1,2,1,2,12,12,3,3,1,1,0,23,4.5503625869751,1,1,12,1964,17,16,15,11,12,12,12,12,12,13,13,13,0,0,0,0,3
"1192",3406,58,51,59,59,50,47,44,57,46,46,1,1,3,2,4,3,1,2,2,1,19,1,2,1,1,1,1,2,1,5,12,2,3,0,1,0,36,64.1930236816406,1,2,16,1963,18,17,16,11,12,13,14,15,16,16,16,17,17,0,0,0,3
"1193",3416,46,47,54,56,59,69,46,38,46,51,1,1,4,1,4,2,2,3,2,2,23,1,1,2,2,1,1,2,1,6,12,7,3,0,1,1,21,26.916316986084,1,2,NA,1961,20,19,18,11,12,12,12,12,12,12,12,12,12,12,12,0,3
