"","recid","ASVAB_GS","ASVAB_AR","ASVAB_WK","ASVAB_PC","ASVAB_NO","ASVAB_CS","ASVAB_AI","ASVAB_SI","ASVAB_MK","ASVAB_MC","ASVAB_EI","ASVAB_AO","sex","moth_age_birth","cross_sction","med","race","nsib","nuclear","urban","income","fed","yob","AGE_ASVAB","acgrd_1","acgrd_2","acgrd_3","acgrd_4","acgrd_5","acgrd_6","acgrd_7","acgrd_8","acgrd_9","acgrd_10","acgrd_11","acgrd_12","acgrd_13","_merge"
"45",155,1106,2033,1056,1370,35591,12022,-570,-11,2653,181,638,1542,1,26,1,14,4,2,1,1,449.583801269531,18,1980,19,12,13,14,14,15,16,16,16,16,16,16,16,16,3
"46",156,670,755,317,840,13545,10013,-663,-227,1353,305,315,1262,1,29,1,14,4,2,1,1,270.542999267578,18,1982,17,11,12,13,14,15,16,17,18,19,20,20,0,0,3
"47",159,-2076,-1690,-1663,-1705,10124,6205,-1376,-1673,-1977,-2126,-1913,-1761,2,17,1,12,2,3,1,1,0.0225285030901432,10,1980,19,11,11,12,12,12,12,12,12,13,13,13,13,13,3
"48",164,-294,82,-228,43,23020,3972,-859,-1530,269,-957,228,-1257,2,26,1,12,4,2,1,1,52.5665092468262,12,1981,18,11,11,11,11,12,12,13,13,13,13,13,13,0,3
"49",169,336,226,-124,633,10966,1581,-445,-1238,18,-215,138,-731,2,30,1,12,4,3,1,1,32.1835784912109,20,1983,16,11,11,11,11,11,11,11,11,11,11,0,0,0,3
"50",172,393,1477,660,905,20212,13988,-1339,73,2139,23,-56,843,1,33,1,16,4,1,1,0,128.466110229492,18,1983,16,9,9,9,9,9,9,9,9,9,9,0,0,0,3
"51",175,916,1104,983,839,20871,10161,-515,118,1627,349,44,965,2,33,1,16,4,1,1,0,301.530670166016,18,1981,18,11,12,13,14,15,16,17,18,18,18,18,18,0,3
"52",177,-125,144,-30,0,16703,5734,-971,-834,358,-547,-675,-334,2,29,1,16,4,1,1,0,56.2408027648926,12,1980,19,10,11,12,13,14,15,16,16,17,17,18,18,18,3
"53",181,978,1602,1453,1502,24946,12935,-670,-224,1882,-26,1073,1362,2,26,1,18,4,2,1,0,119.883827209473,20,1982,17,10,11,12,13,14,15,16,16,17,18,18,0,0,3
"54",183,754,204,869,1113,20561,8637,-621,-882,688,167,201,-1314,2,38,1,16,4,1,1,0,148.849044799805,20,1980,19,10,11,12,13,14,14,15,15,16,16,17,17,17,3
"55",187,760,424,129,345,20114,4773,-48,20,733,503,-2,113,1,24,1,12,2,4,1,1,117.480804443359,14,1983,16,11,12,13,14,15,16,17,17,17,17,0,0,0,3
"56",188,-726,-53,-480,-314,18553,7398,-645,-909,854,-1265,-1418,774,2,21,1,12,4,1,0,1,27.8924331665039,12,1980,19,10,11,12,13,13,13,13,13,13,13,13,14,15,3
"57",192,-46,608,-235,-709,23446,10227,-1558,-773,118,-248,-1416,1132,2,36,1,15,2,2,0,1,7.5,16,1982,17,11,12,12,12,12,12,12,12,12,12,12,0,0,3
"58",193,-2113,19,-970,-1549,18074,5641,-1770,-1289,-873,-1696,-1679,-2024,2,21,1,12,1,3,0,1,38.4271926879883,10,1981,18,11,11,11,11,11,11,11,11,11,11,11,11,0,3
"59",194,775,856,-532,-245,14977,6540,-704,-1035,610,-215,-604,-378,2,27,1,14,2,2,0,1,46.1297950744629,NA,1980,19,11,12,12,12,12,12,12,12,12,12,12,12,13,3
"60",199,936,422,47,-482,15405,3731,-1166,-642,-81,1121,791,-835,1,35,1,17,4,1,1,1,124.335884094238,16,1982,17,10,11,12,13,13,14,14,14,0,0,0,0,0,3
"61",201,617,1124,504,878,26779,9178,-1234,-653,2082,297,-948,1065,2,23,1,18,4,1,1,1,92.8751983642578,18,1983,16,11,12,13,14,15,16,16,16,16,16,0,0,0,3
"62",205,-128,-507,-891,-1326,10397,4079,-1152,-715,-270,-406,-1375,-254,2,28,1,15,4,2,0,1,43.9842224121094,14,1983,16,9,10,10,10,10,10,10,10,10,10,0,0,0,3
"63",207,355,1304,-80,392,24756,9393,-1127,-1394,1592,-664,-106,770,2,25,1,12,4,5,1,1,80.9953384399414,8,1981,18,11,12,13,14,15,16,16,16,16,16,16,16,0,3
"64",212,-350,480,-869,-678,16868,7187,-785,-2152,821,-918,-1054,1330,1,27,1,12,2,2,1,1,30.8876457214355,8,1980,19,10,10,10,10,10,10,10,10,10,10,10,10,10,3
"65",213,-213,-473,-1367,-369,20394,9482,-1499,-2076,1077,-771,-1291,759,2,30,1,12,2,2,1,1,19.2028675079346,8,1982,17,11,12,13,13,14,15,15,15,15,15,15,0,0,3
"66",214,-941,-232,-260,34,20232,9766,-1473,-1780,535,-1150,-1937,-386,2,19,1,12,2,3,1,1,40.1221923828125,16,1982,17,11,12,13,14,15,16,16,16,16,16,16,0,0,3
"67",216,-347,412,137,776,22586,10104,-1149,-2068,113,-861,-345,-1144,2,21,1,11,2,2,1,1,44.9049797058105,6,1980,19,10,10,10,10,10,11,11,12,12,12,12,12,13,3
"68",219,455,165,452,1019,9534,7689,-1238,-1412,406,70,527,-660,1,40,1,18,3,1,1,1,93.5,15,1982,17,11,12,13,14,15,16,16,16,16,16,16,0,0,3
"69",224,-170,-1083,-327,-192,22262,7552,-1496,-1762,-320,-1321,-1274,-960,2,30,1,12,4,2,0,1,61.148796081543,12,1982,17,11,12,12,12,12,12,12,12,12,12,12,0,0,3
